X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,VSDATA_SITE
144.977203413749,-37.805751312658,4940,4686,3065,BRUNSWICK ST N OF VICTORIA PDE,INTERSECTION,All Moves,BRUNSWICK ST & VICTORIA PDE,9999,Missing Data,GERTRUDE STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,3065
144.9267778585208,-37.77236339378776,4942,4590,3628,MT ALEXANDER RD N OF ORMOND RD,INTERSECTION,Left Missing,MT ALEXANDER RD/ORMOND RD/MARIBYRNONG RD,5824,MOUNT ALEXANDER ROAD,MT ALEXANDER ROAD,SCATS,Scats,Between 5 and 10 Years,10,2006,12000,0,0.0,3628
145.00709261498457,-37.81120484385051,4943,4786,3316,FLOCKHART ST N OF VICTORIA ST DEPARTURE,INTERSECTION,All Moves,FLOCKHART ST N OF VICTORIA ST DEPARTURE,5948,VICTORIA STREET,VICTORIA STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,3316
143.9619137047031,-37.40751097774975,4945,4687,3202,MIDLAND HWY E BD 100M W OF RYRIES RD,MIDBLOCK,All Moves,MIDLAND HWY 100M W OF RYRIES RD,2590,MIDLAND HIGHWAY,MIDLAND HIGHWAY,APARX,Classification,Between 5 and 10 Years,7,2009,0,0,0.0,3202
144.35843448533723,-38.0735368020349,4947,4591,4411,BACCHUS MARSH RD NO of CORIO VILLAGE ENT.,INTERSECTION,All Moves,BACCHUS MARSH RD & CORIO VILLAGE ENT.,9999,Missing Data,BACCHUS MARSH ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,4411
144.99113844925117,-37.81094789465976,4949,4787,4614,HODDLE ST N OF ELIZABETH ST DEPARTURE,INTERSECTION,All Moves,HODDLE ST N OF ELIZABETH ST DEPARTURE,2080,HODDLE HIGHWAY,HODDLE STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,4614
145.1825254935219,-38.23120280466477,4950,4688,5102,FRANKSTON-FLINDERS RD NWBD BTW DEANSWOOD DR & CHESTERFIELD RD,MIDBLOCK,All Moves,FRANKSTON-FLINDERS RD BTW DEANSWOOD DR & CHESTERFIELD RD,5757,FRANKSTON-FLINDERS ROAD,FRANKSTON-FLINDERS ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,5900,460,0.08,5102
145.1620268937334,-37.788790499488336,4951,4294,6081,BLACKBURN RD N BD N of DONCASTER RD,INTERSECTION,All Moves,BLACKBURN RD N OF DONCASTER RD,5307,BLACKBURN ROAD,BLACKBURN ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,16000,590,0.04,6081
145.9834735955515,-36.55206670304329,4952,4592,4648,NUNN ST NO of BRIDGE ST,INTERSECTION,All Moves,BRIDGE ST & NUNN ST,9999,Missing Data,NUNN STREET,TMVMT,Manual,Greater than 10 Years,29,1987,3400,130,0.04,4648
145.108906502423,-37.98657269627045,4953,4788,4678,LOWER DANDENONG RD E BD BTW SIBTHORPE ST & BOUNDARY RD,INTERSECTION,All Moves,LOWER DANDENONG RD BTW SIBTHORPE ST & BOUNDARY RD,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0,4678
145.34181544637332,-38.042140191622,4955,4689,3208,CLYDE RD N BD BTW KANGAN DR & PRINCES FWY,MIDBLOCK,All Moves,CLYDE RD BTW KANGAN DR & PRINCES FWY,5768,BERWICK-CRANBOURNE ROAD,CLYDE ROAD,APARX,Classification,Between 5 and 10 Years,7,2009,16000,810,0.05,3208
144.48064116275836,-37.68575805835418,4957,4789,4073,BACCHUS MARSH RD NEBD NE OF FREEWAY OVERPASS,MIDBLOCK,All Moves,BACCHUS MARSH RD NNE OF FREEWAY OVERPASS,5288,BACCHUS MARSH ROAD,BACCHUS MARSH ROAD,APARX,Classification,Between 5 and 10 Years,7,2009,3600,340,0.09,4073
144.89701789711805,-37.79296709748471,4958,4593,5022,HOADLEY CT N of BALLARAT RD (WESTE,INTERSECTION,All Moves,BALLARAT RD (WEST) & HOADLEY CT & TIERNAN ST,9999,Missing Data,HOADLEY COURT,TMVMT,Manual,Greater than 10 Years,31,1985,1600,30,0.02,5022
144.980522202993,-37.808920873512335,4960,4690,3408,VICTORIA PDE E OF LANSDOWNE ST,INTERSECTION,All Moves,LANSDOWNE ST & VICTORIA PDE,5083,VICTORIA PARADE,VICTORIA PARADE,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,3408
145.04387151411484,-37.84859840436442,4961,4594,4400,TOORONGA RD NO of TOORAK RD,INTERSECTION,All Moves,TOORAK RD & TOORONGA RD,5315,TOORONGA ROAD,TOORONGA ROAD,TMVMT,Manual,Greater than 10 Years,28,1988,8600,330,0.04,4400
144.83902611632004,-37.79690793146009,4963,4296,5879,WRIGHT ST E of MARKET RD,INTERSECTION,All Moves,MARKET RD & WRIGHT ST,5877,FOOTSCRAY-SUNSHINE ROAD,SUNSHINE ROAD,TMVMT,Manual,Greater than 10 Years,25,1991,8800,790,0.09,5879
144.93651590653755,-38.397805376232725,4967,4791,3713,BROWNS RD E BD BTW JETTY RD & HYSLOPS RD,MIDBLOCK,All Moves,BROWNS RD BTW JETTY RD & HYSLOPS RD,9999,Missing Data,BROWNS ROAD,APARX,Classification,Between 5 and 10 Years,8,2008,1000,100,0.09,3713
143.8559729562911,-37.563678389035616,4971,4596,2968,ARMSTRONG ST N of STURT ST,INTERSECTION,All Moves,ARMSTRONG ST & STURT ST,9999,Missing Data,ARMSTRONG STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,2968
