loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0.018255935981869698,0.08255840092897415,0.12932871282100677,0.012833751738071442,0.09014353156089783,0.11177097260951996,0.0005000000237487257
0.009278695099055767,0.06685459613800049,0.09463723748922348,0.01175149530172348,0.08678343892097473,0.10695594549179077,0.0005000000237487257
0.009223900735378265,0.06666042655706406,0.09443560242652893,0.011414926499128342,0.08149068802595139,0.10543600469827652,0.0005000000237487257
0.009178893640637398,0.06652145832777023,0.09422747045755386,0.011551504023373127,0.07631208002567291,0.10607004165649414,0.0005000000237487257
0.009110859595239162,0.06627864390611649,0.09389042854309082,0.010772709734737873,0.07431816309690475,0.10235355794429779,0.0005000000237487257
0.00907106138765812,0.0660998672246933,0.0936850756406784,0.012438340112566948,0.08391968160867691,0.11022362858057022,0.0005000000237487257
0.00906008668243885,0.06606601923704147,0.09364698082208633,0.012522080913186073,0.08342644572257996,0.11059624701738358,0.0005000000237487257
0.009030654095113277,0.06601949781179428,0.0934969037771225,0.01164864469319582,0.078422911465168,0.10662027448415756,0.0005000000237487257
0.00901348702609539,0.06594961881637573,0.09341760724782944,0.011726894415915012,0.08267921209335327,0.10697244107723236,0.0005000000237487257
0.008849863894283772,0.06533244997262955,0.09277157485485077,0.011015753261744976,0.07480542361736298,0.10388627648353577,0.0002500000118743628
0.008823998272418976,0.06532874703407288,0.09276490658521652,0.011104989796876907,0.0793856754899025,0.10435887426137924,0.0002500000118743628
0.008815010078251362,0.06532646715641022,0.0927485004067421,0.011479130946099758,0.07615724205970764,0.10613758116960526,0.0002500000118743628
0.008807172067463398,0.06531988084316254,0.09272509068250656,0.012371097691357136,0.0849437341094017,0.11026976257562637,0.0002500000118743628
0.008709881454706192,0.06489403545856476,0.09228242933750153,0.01087619736790657,0.07705684006214142,0.10339291393756866,0.0001250000059371814
0.0087000522762537,0.06490253657102585,0.09230509400367737,0.011906338855624199,0.08209334313869476,0.1083168312907219,0.0001250000059371814
