Site,Samples,RMSE,MAE,MAPE (%),R2
2351,488,0.091636,0.076961,282.5687,0.785412
4575,488,0.091678,0.071748,41.8158,0.744396
5402,488,0.091721,0.077237,260.1562,0.766811
144,488,0.09198,0.083306,131.9959,0.794692
3660,488,0.09206,0.070464,225.3274,0.608028
6724,488,0.092082,0.081736,260.613,0.775843
6681,488,0.092161,0.076784,162.8939,0.784377
2294,488,0.092209,0.078471,131.1303,0.591921
1203,488,0.092307,0.075562,328.7596,0.789524
4090,488,0.092479,0.07865,138.8118,0.766714
4452,488,0.092713,0.081991,208.6903,0.609732
1377,488,0.092945,0.073987,387.4757,0.77069
1047,488,0.093012,0.080333,173.8984,0.737402
927,488,0.093068,0.086588,155.273,-0.295647
1734,488,0.093082,0.075245,153.8076,0.696305
4328,488,0.093118,0.075716,195.8583,0.720889
4343,488,0.093194,0.066975,178.975,0.655276
2697,488,0.093212,0.072356,123.9612,0.708059
4823,488,0.093549,0.071274,189.2978,0.686913
3575,488,0.093567,0.073766,174.0081,0.750333
2284,488,0.093628,0.070279,62.0546,0.758533
6407,488,0.093651,0.071322,62.1718,0.692276
5340,488,0.093771,0.07491,234.7958,0.76612
2205,488,0.093809,0.062841,56.1434,0.684755
2568,488,0.093841,0.072285,56.9079,0.715222
1586,488,0.093857,0.069725,56.5518,0.744274
5343,488,0.093867,0.069915,120.8039,0.767776
3178,488,0.093904,0.076277,69.695,0.731155
2976,488,0.093948,0.072611,127.2735,0.792191
3464,488,0.094038,0.07679,122.8923,0.720632
4502,488,0.094079,0.071181,42.7636,0.676646
2688,488,0.094216,0.076905,78.5149,0.763062
5099,488,0.094236,0.076249,209.4199,0.77169
3627,488,0.094362,0.081377,202.5878,0.698918
4347,488,0.094366,0.080169,161.0077,0.784209
5662,488,0.094431,0.084332,402.025,0.78126
2681,488,0.094609,0.071885,84.8822,0.768049
5865,488,0.094654,0.078275,59.5531,0.774169
6816,488,0.094734,0.077865,242.8682,0.789238
2267,488,0.094866,0.073957,172.2428,0.772459
3962,488,0.094921,0.07797,160.2511,0.766859
5401,488,0.095019,0.079463,169.3875,0.74645
5814,488,0.095089,0.078295,185.6495,0.759339
1754,488,0.095098,0.082641,327.9135,0.673014
3312,488,0.095209,0.069615,62.9558,0.694624
