loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0.006964146625250578,0.05429089814424515,0.07433519512414932,0.005009642336517572,0.04529783874750137,0.06750461459159851,0.0005000000237487257
0.005337496753782034,0.051454514265060425,0.07009203732013702,0.004758364986628294,0.04324614256620407,0.06598486006259918,0.0005000000237487257
0.005253560841083527,0.05107744410634041,0.06967242062091827,0.004514420870691538,0.042682480067014694,0.06423629075288773,0.0005000000237487257
0.0052071623504161835,0.050841864198446274,0.06941661238670349,0.004169641062617302,0.039864491671323776,0.061564937233924866,0.0005000000237487257
0.005173123441636562,0.050675537437200546,0.06920668482780457,0.0042195189744234085,0.041504207998514175,0.061977237462997437,0.0005000000237487257
0.0051490128971636295,0.050543852150440216,0.06906531006097794,0.004396441858261824,0.03887980431318283,0.06339334696531296,0.0005000000237487257
0.005126325413584709,0.05041889473795891,0.06892101466655731,0.004659411497414112,0.042314380407333374,0.06550578773021698,0.0005000000237487257
0.005112429149448872,0.050341714173555374,0.06883320212364197,0.004299231804907322,0.03820490837097168,0.06267013400793076,0.0005000000237487257
0.004970565903931856,0.04961632564663887,0.06798720359802246,0.0041641369462013245,0.037918440997600555,0.061873868107795715,0.0002500000118743628
0.004947861656546593,0.049564920365810394,0.06794783473014832,0.004318973980844021,0.04130832850933075,0.06319323927164078,0.0002500000118743628
0.0049339463002979755,0.049526397138834,0.06790868192911148,0.003998033702373505,0.036943014711141586,0.06064952537417412,0.0002500000118743628
0.0049164146184921265,0.04945778101682663,0.06782077997922897,0.0039061973802745342,0.036051612347364426,0.05990846827626228,0.0002500000118743628
0.004909460432827473,0.049445074051618576,0.06780021637678146,0.004162218421697617,0.03796103969216347,0.06206244230270386,0.0002500000118743628
0.0049051265232264996,0.0494217686355114,0.06778556108474731,0.004353734664618969,0.04101357236504555,0.06360236555337906,0.0002500000118743628
0.0048980419524014,0.04938717186450958,0.0677349641919136,0.004155720584094524,0.039418745785951614,0.062028463929891586,0.0002500000118743628
0.00481208972632885,0.048921264708042145,0.06719961017370224,0.0041388883255422115,0.038444891571998596,0.06202893331646919,0.0001250000059371814
0.00480325473472476,0.048899099230766296,0.06719402223825455,0.004162536468356848,0.040691353380680084,0.062278300523757935,0.0001250000059371814
0.004792612511664629,0.0488826222717762,0.06715433299541473,0.004133433569222689,0.04031563550233841,0.062067314982414246,0.0001250000059371814
0.004787125624716282,0.048879899084568024,0.06714707612991333,0.004211451858282089,0.04040377959609032,0.06273962557315826,0.0001250000059371814
0.004736884962767363,0.048596467822790146,0.06682026386260986,0.004021844826638699,0.038829587399959564,0.061246391385793686,6.25000029685907e-05
