Site,RMSE,MAE,MAPE (%),R2,n_test
32260,0.028188844245906015,0.02817857638001442,,0.0,8
32036,0.030479610666980548,0.024534646421670914,8.484994888305664,0.9873272776603699,488
2628,0.031184140110282837,0.024932555854320526,9.477190971374512,0.9834864735603333,488
2638,0.031805372851213765,0.024692179635167122,8.219284057617188,0.9868404269218445,488
459,0.03182646165723461,0.026020701974630356,8.742668151855469,0.9856107831001282,488
3696,0.031836795137121905,0.02466498501598835,9.932632446289062,0.9883224964141846,488
429,0.03184698818471812,0.026060881093144417,8.632628440856934,0.9881916642189026,488
678,0.03199482815479237,0.02641868218779564,9.827620506286621,0.9864904284477234,488
2789,0.03209531311980241,0.025271035730838776,9.284971237182617,0.9844493269920349,488
4048,0.03217045458526913,0.026145892217755318,11.340624809265137,0.9433375000953674,488
176,0.03220818277235555,0.026132700964808464,8.80015754699707,0.9872161149978638,488
764,0.03246761608507312,0.026390276849269867,8.997244834899902,0.9873666763305664,488
2322,0.03256986827586293,0.026163257658481598,8.9778413772583,0.9889971613883972,488
2880,0.03281402321810824,0.026144688948988914,9.21474552154541,0.9869407415390015,488
3740,0.03288045464015354,0.026071365922689438,9.535516738891602,0.9852111339569092,488
2881,0.03291292858049378,0.02596690133213997,8.831801414489746,0.9879257082939148,488
4046,0.03308508204476796,0.026240786537528038,3.9604597091674805,0.9524121284484863,488
4023,0.033104951258077796,0.027838943526148796,13.095787048339844,0.948904275894165,488
1108,0.03318389167225308,0.02742188051342964,11.22620964050293,0.976870059967041,488
126,0.033307114261831285,0.02786070853471756,9.30023193359375,0.9875697493553162,488
378,0.03332218044742569,0.026702219620347023,9.184123039245605,0.983246386051178,488
867,0.033549993317670196,0.027061495929956436,8.876852989196777,0.986149251461029,488
2329,0.03361517464194316,0.02712956815958023,9.820178985595703,0.9854570031166077,488
869,0.03366483283085556,0.0272064208984375,8.916821479797363,0.9851945638656616,488
731,0.033674135480754375,0.026756301522254944,9.066717147827148,0.9867587089538574,488
170,0.03376958594419817,0.027501124888658524,9.112956047058105,0.9863479733467102,488
860,0.033817222194956115,0.02737678587436676,9.69247055053711,0.9867223501205444,488
5252,0.0338238827498929,0.026529954746365547,8.923656463623047,0.986023485660553,488
3777,0.03389961755724618,0.027110494673252106,9.107938766479492,0.987152636051178,488
32051,0.03403770213169998,0.0274693351238966,9.395543098449707,0.9844367504119873,488
2816,0.034053501441046206,0.027943013235926628,9.170414924621582,0.9871968626976013,488
2722,0.034064953536837514,0.025584256276488304,8.789641380310059,0.9819599390029907,488
3229,0.03412451548688709,0.026540588587522507,9.432891845703125,0.9824309945106506,488
1144,0.03414914946772804,0.02775750681757927,9.507325172424316,0.9798075556755066,488
177,0.03419623315067276,0.02736327052116394,8.921977043151855,0.9867286086082458,488
744,0.03426827802620052,0.026496965438127518,10.317553520202637,0.9862175583839417,488
775,0.03428749724744305,0.0274715106934309,9.471700668334961,0.9849923253059387,488
3595,0.034307864517784545,0.027849096804857254,9.640388488769531,0.9821670651435852,488
777,0.03436521687606101,0.02724672667682171,9.465100288391113,0.9858232736587524,488
374,0.034405801665991005,0.02825922518968582,9.533792495727539,0.98561030626297,488
1302,0.034526037431214955,0.027740025892853737,9.085559844970703,0.9879719018936157,488
574,0.03453362823243227,0.027939455583691597,9.621368408203125,0.985276460647583,488
853,0.03453794293410828,0.027908677235245705,9.50894546508789,0.9852216243743896,488
4169,0.03454263961572207,0.027700969949364662,8.590126991271973,0.9869287610054016,488
367,0.034550124000952684,0.02825041674077511,8.695834159851074,0.9841336011886597,488
3168,0.03457533017344868,0.02726980485022068,9.449667930603027,0.9780047535896301,488
634,0.03457613992875418,0.028326069936156273,10.016010284423828,0.985556960105896,488
371,0.034593914415495156,0.027590356767177582,9.54847526550293,0.9838184714317322,488
182,0.03465287625513527,0.027893342077732086,13.516033172607422,0.951917290687561,488
680,0.034697437857670925,0.028054194524884224,9.756001472473145,0.9819628000259399,488
2324,0.0347205421584362,0.028608325868844986,9.400919914245605,0.9867084622383118,488
2431,0.03475091976811296,0.02735154703259468,8.873465538024902,0.9848266839981079,488
1347,0.03475096331798863,0.030839474871754646,18.031612396240234,0.9131503701210022,488
185,0.03476837052262562,0.027219761162996292,8.934829711914062,0.9855667352676392,488
827,0.03478451233181632,0.02756716124713421,8.967751502990723,0.9825439453125,488
865,0.034793525654939934,0.028392646461725235,9.64207935333252,0.9851731061935425,488
32052,0.03483652054837085,0.026843983680009842,8.409059524536133,0.9836540818214417,488
960,0.034847900727150695,0.030431486666202545,20.049318313598633,0.8984339237213135,488
32011,0.0348503042560242,0.03466377407312393,,0.0,257
3063,0.0348642027222913,0.0273752324283123,9.899998664855957,0.9748569130897522,488
4176,0.03491631062444838,0.02818402647972107,9.316514015197754,0.9851384162902832,488
32228,0.03495726133177699,0.0347943939268589,,0.0,488
32224,0.03495726133177699,0.0347943939268589,,0.0,488
32170,0.03495726133177699,0.0347943939268589,,0.0,488
32222,0.03495726133177699,0.0347943939268589,,0.0,488
32159,0.03495726133177699,0.0347943939268589,,0.0,488
32274,0.03495726133177699,0.0347943939268589,,0.0,488
4798,0.03495726133177699,0.0347943939268589,,0.0,488
32400,0.03495726133177699,0.0347943939268589,,0.0,488
3202,0.03495726133177699,0.0347943939268589,,0.0,488
1891,0.03495726133177699,0.0347943939268589,,0.0,488
3743,0.03495726133177699,0.0347943939268589,,0.0,488
4127,0.03495726133177699,0.0347943939268589,,0.0,488
5183,0.03495726133177699,0.0347943939268589,,0.0,488
5505,0.03495726133177699,0.0347943939268589,,0.0,488
6096,0.03495726133177699,0.0347943939268589,,0.0,488
4642,0.03495726133177699,0.0347943939268589,,0.0,488
2689,0.03495726133177699,0.0347943939268589,,0.0,488
3932,0.03495726133177699,0.0347943939268589,,0.0,488
2016,0.03495726133177699,0.0347943939268589,,0.0,488
1994,0.03495726133177699,0.0347943939268589,,0.0,488
4058,0.03495726133177699,0.0347943939268589,,0.0,488
4056,0.03495726133177699,0.0347943939268589,,0.0,488
1955,0.03495726133177699,0.0347943939268589,,0.0,488
6248,0.03495726133177699,0.0347943939268589,,0.0,488
32060,0.03495726133177699,0.0347943939268589,,0.0,488
32057,0.03495726133177699,0.0347943939268589,,0.0,488
197,0.03495726133177699,0.0347943939268589,,0.0,488
32061,0.03495726133177699,0.0347943939268589,,0.0,488
4195,0.03495726133177699,0.0347943939268589,,0.0,488
1934,0.03495726133177699,0.0347943939268589,,0.0,488
1938,0.03495726133177699,0.0347943939268589,,0.0,488
2589,0.03495726133177699,0.0347943939268589,,0.0,488
3100,0.03495726133177699,0.0347943939268589,,0.0,488
1468,0.03495726133177699,0.0347943939268589,,0.0,488
4100,0.03495726133177699,0.0347943939268589,,0.0,488
1900,0.03495726133177699,0.0347943939268589,,0.0,488
1831,0.03495726133177699,0.0347943939268589,,0.0,488
1876,0.03495726133177699,0.0347943939268589,,0.0,488
940,0.03495726133177699,0.0347943939268589,,0.0,488
933,0.03495726133177699,0.0347943939268589,,0.0,488
4673,0.03495726133177699,0.0347943939268589,,0.0,488
6234,0.03495726133177699,0.0347943939268589,,0.0,488
2051,0.03495726133177699,0.0347943939268589,,0.0,488
2039,0.03495726133177699,0.0347943939268589,,0.0,488
4631,0.03495726133177699,0.0347943939268589,,0.0,488
4663,0.03495726133177699,0.0347943939268589,,0.0,488
1942,0.03495726133177699,0.0347943939268589,,0.0,488
2761,0.03495726133177699,0.0347943939268589,,0.0,488
2030,0.03495726133177699,0.0347943939268589,,0.0,488
925,0.03495726133177699,0.0347943939268589,,0.0,488
2066,0.03495726133177699,0.0347943939268589,,0.0,488
4099,0.03495726133177699,0.0347943939268589,,0.0,488
3724,0.03495726133177699,0.0347943939268589,,0.0,488
5501,0.03495726133177699,0.0347943939268589,,0.0,488
2077,0.03495726133177699,0.0347943939268589,,0.0,488
2033,0.03495726133177699,0.0347943939268589,,0.0,488
4683,0.03495726133177699,0.0347943939268589,,0.0,488
5484,0.03495726133177699,0.0347943939268589,,0.0,488
5479,0.03495726133177699,0.0347943939268589,,0.0,488
5101,0.03495726133177699,0.0347943939268589,,0.0,488
3630,0.03495726133177699,0.0347943939268589,,0.0,488
872,0.03495726133177699,0.0347943939268589,,0.0,488
2899,0.03495726133177699,0.0347943939268589,,0.0,488
6266,0.03495726133177699,0.0347943939268589,,0.0,488
388,0.03495726133177699,0.0347943939268589,,0.0,488
3517,0.03495726133177699,0.0347943939268589,,0.0,488
4705,0.03495726133177699,0.0347943939268589,,0.0,488
1850,0.03495726133177699,0.0347943939268589,,0.0,488
797,0.03495726133177699,0.0347943939268589,,0.0,488
2884,0.03495726133177699,0.0347943939268589,,0.0,488
1079,0.03495726133177699,0.0347943939268589,,0.0,488
6063,0.03495726133177699,0.0347943939268589,,0.0,488
2990,0.03495726133177699,0.0347943939268589,,0.0,488
4623,0.03495726133177699,0.0347943939268589,,0.0,488
3153,0.03495726133177699,0.0347943939268589,,0.0,488
4312,0.03495726133177699,0.0347943939268589,,0.0,488
4302,0.03495726133177699,0.0347943939268589,,0.0,488
3359,0.03495726133177699,0.0347943939268589,,0.0,488
2767,0.03495726133177699,0.0347943939268589,,0.0,488
3944,0.03495726133177699,0.0347943939268589,,0.0,488
2094,0.03495726133177699,0.0347943939268589,,0.0,488
3847,0.03495726133177699,0.0347943939268589,,0.0,488
3836,0.03495726133177699,0.0347943939268589,,0.0,488
5084,0.03495726133177699,0.0347943939268589,,0.0,488
4714,0.03495726133177699,0.0347943939268589,,0.0,488
6405,0.03495726133177699,0.0347943939268589,,0.0,488
4031,0.03495726133177699,0.0347943939268589,,0.0,488
2142,0.03495726133177699,0.0347943939268589,,0.0,488
4860,0.03495726133177699,0.0347943939268589,,0.0,488
4889,0.03495726133177699,0.0347943939268589,,0.0,488
772,0.03495726133177699,0.0347943939268589,,0.0,488
6314,0.03495726133177699,0.0347943939268589,,0.0,488
350,0.03495726133177699,0.0347943939268589,,0.0,488
1110,0.03495726133177699,0.0347943939268589,,0.0,488
3958,0.03495726133177699,0.0347943939268589,,0.0,488
349,0.03495726133177699,0.0347943939268589,,0.0,488
32081,0.03495726133177699,0.0347943939268589,,0.0,488
384,0.03495726133177699,0.0347943939268589,,0.0,488
3512,0.03495726133177699,0.0347943939268589,,0.0,488
6000,0.03495726133177699,0.0347943939268589,,0.0,488
5958,0.03495726133177699,0.0347943939268589,,0.0,488
4590,0.03495726133177699,0.0347943939268589,,0.0,488
4120,0.03495726133177699,0.0347943939268589,,0.0,488
1137,0.03495726133177699,0.0347943939268589,,0.0,488
5512,0.03495726133177699,0.0347943939268589,,0.0,488
5510,0.03495726133177699,0.0347943939268589,,0.0,488
1314,0.03495726133177699,0.0347943939268589,,0.0,488
5465,0.03495726133177699,0.0347943939268589,,0.0,488
32126,0.03495726133177699,0.0347943939268589,,0.0,488
2669,0.03495726133177699,0.0347943939268589,,0.0,488
3274,0.03495726133177699,0.0347943939268589,,0.0,488
4394,0.03495726133177699,0.0347943939268589,,0.0,488
32001,0.03495726133177699,0.0347943939268589,,0.0,488
4993,0.03495726133177699,0.0347943939268589,,0.0,488
684,0.03495726133177699,0.0347943939268589,,0.0,488
688,0.03495726133177699,0.0347943939268589,,0.0,488
2197,0.03495726133177699,0.0347943939268589,,0.0,488
6633,0.03495726133177699,0.0347943939268589,,0.0,488
32017,0.03495726133177699,0.0347943939268589,,0.0,488
