Site,Samples,RMSE,MAE,MAPE (%),R2
1434,488,0.088861,0.071057,34.3059,0.784583
2351,488,0.088861,0.075366,427.3117,0.798212
1770,488,0.089055,0.074085,221.9305,0.721163
609,488,0.089087,0.071549,96.2895,0.802483
2976,488,0.089117,0.070658,186.1933,0.813011
1762,488,0.089161,0.072816,257.6319,0.772578
4374,488,0.089231,0.070163,36.1826,0.820708
3369,488,0.089266,0.072925,216.8769,0.691669
2755,488,0.089284,0.074599,451.6213,0.775639
3760,488,0.089324,0.076383,173.0603,0.818695
3312,488,0.089343,0.065112,78.4661,0.731095
4676,488,0.089381,0.074824,29.9518,0.748344
5398,488,0.089421,0.070207,178.6131,0.688456
32079,488,0.089485,0.071367,176.249,0.762953
1109,488,0.089516,0.074861,247.9422,0.818511
4764,488,0.089535,0.079862,126.4435,0.813448
1440,488,0.089546,0.077824,424.0808,0.7027
1838,488,0.089589,0.068838,153.3876,0.726094
3924,488,0.08959,0.07383,264.9705,0.753082
4501,488,0.089592,0.069879,55.9761,0.830324
4077,488,0.089629,0.073818,212.2067,0.780735
6219,488,0.089632,0.07847,299.8216,0.772669
3285,488,0.089677,0.06906,43.9312,0.831227
247,488,0.0898,0.076662,47.243,0.820307
454,488,0.089864,0.069629,280.3552,0.812746
3464,488,0.089871,0.076334,165.3096,0.74484
4106,488,0.089903,0.075413,177.5504,0.724579
2130,488,0.08997,0.069803,117.3244,0.793547
4408,488,0.090019,0.070875,39.3521,0.67408
4378,488,0.090033,0.06845,44.5318,0.825542
5343,488,0.090143,0.070276,178.6133,0.785837
2341,488,0.090147,0.07156,227.3016,0.727779
4458,488,0.090167,0.06899,40.5851,0.829816
5365,488,0.090262,0.07849,892.4249,0.667795
4522,488,0.090309,0.073919,105.3218,0.798575
5449,488,0.090335,0.071565,90.9898,0.801802
3910,488,0.090351,0.076665,173.4423,0.808473
3649,488,0.090501,0.078553,359.6344,0.749516
3283,488,0.09058,0.071963,49.0561,0.821496
5182,488,0.090605,0.071565,81.4207,0.599497
4572,488,0.090631,0.073207,62.8466,0.722933
4553,488,0.09076,0.07497,70.7627,0.811628
6407,488,0.090777,0.071577,79.2924,0.710871
682,488,0.090781,0.078234,163.6807,0.83049
3449,488,0.091016,0.071514,238.014,0.82259
2951,488,0.09107,0.082439,184.732,-0.594883
1842,488,0.09114,0.069932,76.9502,0.825599
1047,488,0.091198,0.079906,237.9505,0.747549
3906,488,0.091214,0.07677,129.8079,0.80808
3662,488,0.091298,0.080718,73.0339,0.804247
2267,488,0.091392,0.073425,258.8985,0.788817
3982,488,0.091395,0.076002,123.4903,0.821127
3024,488,0.091434,0.074896,176.2586,0.826596
