loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0.020640699192881584,0.09414344280958176,0.12971627712249756,0.019247371703386307,0.11363525688648224,0.13421115279197693,0.00019999999494757503
0.01415762398391962,0.08458130061626434,0.11425983160734177,0.01702979765832424,0.10683289915323257,0.12661466002464294,0.00019999999494757503
0.01376364380121231,0.08364852517843246,0.11320296674966812,0.020863736048340797,0.12050764262676239,0.14128650724887848,0.00019999999494757503
0.013608957640826702,0.08334887772798538,0.11284363269805908,0.01876908168196678,0.113022081553936,0.13387653231620789,0.00019999999494757503
0.013511504046618938,0.08315170556306839,0.11259402334690094,0.019432034343481064,0.1152401864528656,0.13645397126674652,0.00019999999494757503
0.01315750926733017,0.08202283829450607,0.1113564670085907,0.018683549016714096,0.11324389278888702,0.1339844912290573,7.999999797903001e-05
0.013098101131618023,0.08192281424999237,0.11124435812234879,0.01892286166548729,0.11404547840356827,0.13493645191192627,7.999999797903001e-05
0.013052456080913544,0.081855408847332,0.11113478243350983,0.02093121036887169,0.11981312930583954,0.1422918289899826,7.999999797903001e-05
0.012894232757389545,0.08132344484329224,0.11056756228208542,0.0194353386759758,0.11501455307006836,0.13702243566513062,3.199999991920777e-05
0.012867595069110394,0.08128243684768677,0.11050356179475784,0.019699430093169212,0.11502081155776978,0.1380278468132019,3.199999991920777e-05
0.012840199284255505,0.0811980813741684,0.11042074114084244,0.019480006769299507,0.11595016717910767,0.13724879920482635,3.199999991920777e-05
0.012772559188306332,0.08095341175794601,0.11016453802585602,0.020183421671390533,0.11672519892454147,0.13982577621936798,1.2800000149582047e-05
0.012765643186867237,0.08097265660762787,0.11015898734331131,0.02106873132288456,0.11853540688753128,0.142970472574234,1.2800000149582047e-05
0.012762501835823059,0.08096519112586975,0.1101621687412262,0.020915437489748,0.11813495308160782,0.14244364202022552,1.2800000149582047e-05
0.012721640057861805,0.08084281533956528,0.10999646782875061,0.020375510677695274,0.11609330028295517,0.14055119454860687,5.119999968883349e-06
0.012708882801234722,0.08081215620040894,0.10994771867990494,0.020706167444586754,0.11741753667593002,0.14172983169555664,5.119999968883349e-06
